Id,Id2,County,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Reg_2010,Votes_2010,Reg_2012,Votes_2012,Reg_2014,Votes_2014,Reg_2016,Votes_2016,Reg_2018,Votes_2018,Pop_Change_14_18,Reg_Change_14_18
0500000US30001,30001,Beaverhead,9255,9209,9358,9305,9337,9298,9471,9453,9404,"6,103","3,809","6,699","4,896","6,588","4,073","6,733","5,088","6,823","4,957",0.007,0.036
0500000US30003,30003,Big Horn,12915,13060,13000,13119,13343,13309,13448,13444,13338,"7,895","4,019","8,416","4,704","8,024","3,832","7,994","4,434","7,973","4,713",0.000,-0.006
0500000US30005,30005,Blaine,6503,6574,6680,6635,6705,6674,6707,6744,6807,"3,950","1,868","4,059","2,900","3,903","1,903","3,937","2,818","4,192","3,042",0.015,0.074
0500000US30007,30007,Broadwater,5632,5724,5758,5675,5652,5713,5785,5933,6085,"3,685","2,651","3,977","3,058","4,073","2,582","4,216","3,265","4,365","3,284",0.077,0.072
0500000US30009,30009,Carbon,10063,10088,10141,10336,10438,10403,10485,10691,10714,"7,161","4,913","7,176","5,920","7,329","4,727","7,723","6,140","8,014","6,115",0.026,0.093
0500000US30011,30011,Carter,1160,1136,1157,1152,1150,1147,1175,1223,1238,928,705,996,833,"1,002",644,962,812,"1,005",779,0.077,0.003
0500000US30013,30013,Cascade,81501,81694,81611,82189,82058,81887,81536,81604,81643,"49,010","26,557","53,398","34,851","51,887","26,426","53,867","35,999","49,571","34,297",-0.005,-0.045
0500000US30015,30015,Chouteau,5810,5811,5931,5851,5897,5772,5778,5752,5745,"3,699","2,344","3,856","2,884","3,595","2,170","3,509","2,715","3,544","2,689",-0.026,-0.014
0500000US30017,30017,Custer,11693,11758,11797,11872,12007,12075,11832,11725,11586,"6,833","4,131","7,297","5,467","7,200","4,116","7,134","5,386","7,072","4,945",-0.035,-0.018
0500000US30019,30019,Daniels,1749,1761,1775,1778,1798,1751,1735,1739,1747,"1,409",923,"1,308","1,027","1,224",852,"1,214",993,"1,231",958,-0.028,0.006
0500000US30021,30021,Dawson,8950,9025,9232,9382,9506,9572,9254,8945,8680,"6,347","3,712","5,944","4,497","5,499","3,313","5,890","4,498","5,924","4,111",-0.087,0.077
0500000US30023,30023,Deer Lodge,9289,9278,9212,9255,9115,9104,9058,9093,9131,"5,768","3,429","5,777","4,540","4,998","3,373","5,411","4,425","5,531","4,238",0.002,0.107
0500000US30025,30025,Fallon,2889,2930,3026,3047,3110,3171,3086,3008,2920,"1,804","1,153","1,864","1,439","1,940","1,206","1,980","1,533","1,831","1,309",-0.061,-0.056
0500000US30027,30027,Fergus,11588,11463,11393,11465,11329,11306,11333,11283,11113,"7,888","5,239","7,855","6,151","8,013","5,015","7,727","6,082","7,866","5,843",-0.019,-0.018
0500000US30029,30029,Flathead,90867,91263,91595,92936,94577,95852,97785,100092,102106,"59,457","31,727","61,130","44,211","61,863","32,274","67,112","48,290","69,658","48,656",0.080,0.126
0500000US30031,30031,Gallatin,89651,91364,92565,94793,97508,100866,104738,108656,111876,"63,874","31,632","69,954","48,664","71,030","35,863","75,481","55,974","79,960","56,336",0.147,0.126
0500000US30033,30033,Garfield,1192,1254,1244,1254,1275,1284,1298,1288,1268,882,699,914,701,924,603,914,735,877,700,-0.005,-0.051
0500000US30035,30035,Glacier,13420,13576,13668,13792,13709,13646,13720,13675,13747,"7,958","2,717","7,616","4,554","7,320","3,271","7,782","5,334","8,318","5,024",0.003,0.136
0500000US30037,30037,Golden Valley,879,830,827,846,841,818,810,820,826,578,429,607,507,612,453,598,503,594,468,-0.018,-0.029
0500000US30039,30039,Granite,3080,3084,3047,3074,3151,3170,3289,3358,3378,"2,263","1,487","2,171","1,728","2,189","1,543","2,352","1,860","2,343","1,818",0.072,0.070
0500000US30041,30041,Hill,16153,16395,16399,16540,16507,16439,16437,16463,16347,"9,514","5,301","9,807","6,961","9,487","5,093","9,521","6,727","9,313","6,448",-0.010,-0.018
0500000US30043,30043,Jefferson,11408,11375,11318,11456,11502,11574,11778,11937,12097,"7,914","5,344","8,125","6,629","8,005","5,353","8,377","6,971","8,842","6,896",0.052,0.105
0500000US30045,30045,Judith Basin,2072,2009,2004,1999,1984,1931,1939,1949,1952,"1,485","1,067","1,499","1,237","1,486","1,029","1,441","1,248","1,473","1,200",-0.016,-0.009
0500000US30047,30047,Lake,28790,28975,29008,29120,29212,29453,29712,30244,30250,"18,262","10,446","18,670","13,472","18,686","10,058","18,799","13,626","19,286","13,875",0.036,0.032
0500000US30049,30049,Lewis and Clark,63575,64262,64730,65232,65704,66228,66902,67849,68700,"41,688","25,636","45,801","33,878","42,929","26,466","45,342","35,974","47,509","35,818",0.046,0.107
0500000US30051,30051,Liberty,2349,2379,2393,2361,2348,2392,2411,2416,2430,"1,240",948,"1,246","1,017","1,194",883,"1,171",992,"1,189",992,0.035,-0.004
0500000US30053,30053,Lincoln,19695,19622,19484,19421,19183,19053,19253,19508,19794,"11,987","7,260","12,494","9,058","13,103","7,474","13,472","9,639","13,475","9,398",0.032,0.028
0500000US30057,30057,Madison,7697,7644,7664,7675,7828,8034,8073,8388,8768,"5,507","3,673","5,671","4,606","5,861","3,664","6,176","4,935","6,613","5,011",0.120,0.128
0500000US30055,30055,McCone,1745,1709,1700,1714,1714,1699,1729,1705,1675,"1,250",897,"1,239","1,018","1,166",874,"1,256","1,085","1,263","1,042",-0.023,0.083
0500000US30059,30059,Meagher,1878,1877,1886,1904,1856,1822,1846,1856,1866,"1,424",869,"1,442",994,"1,372",792,"1,305","1,011","1,297",985,0.005,-0.055
0500000US30061,30061,Mineral,4226,4216,4124,4224,4190,4187,4119,4245,4316,"2,771","1,874","3,022","2,060","3,104","1,562","3,101","2,096","3,281","2,092",0.030,0.057
0500000US30063,30063,Missoula,109466,110231,111035,111889,112793,114114,116352,117863,118791,"79,427","38,451","83,431","58,313","86,316","42,607","83,745","61,761","86,357","62,054",0.053,0.000
0500000US30065,30065,Musselshell,4555,4746,4691,4681,4645,4630,4651,4645,4651,"2,887","1,907","3,097","2,422","3,047","2,083","3,031","2,491","3,278","2,458",0.001,0.076
0500000US30067,30067,Park,15600,15512,15594,15703,15925,16006,16125,16438,16736,"11,051","7,024","11,822","8,950","11,932","7,056","12,622","9,726","13,491","9,804",0.051,0.131
0500000US30069,30069,Petroleum,489,490,504,504,488,474,492,511,513,346,253,387,304,409,241,426,338,422,315,0.051,0.032
0500000US30071,30071,Phillips,4252,4186,4121,4158,4170,4146,4112,4118,4074,"2,738","1,895","2,792","2,274","2,619","1,799","2,749","2,248","2,755","2,108",-0.023,0.052
0500000US30073,30073,Pondera,6161,6193,6151,6217,6137,6097,6032,5980,5972,"3,753","2,136","3,642","2,761","3,479","2,202","3,529","2,831","3,659","2,719",-0.027,0.052
0500000US30075,30075,Powder River,1739,1738,1753,1753,1777,1768,1745,1744,1716,"1,268",916,"1,312","1,044","1,272",900,"1,299","1,102","1,297",984,-0.034,0.020
0500000US30077,30077,Powell,7019,7083,7081,6957,6883,6800,6844,6808,6968,"3,640","2,248","3,640","2,787","3,491","2,350","3,538","2,898","3,647","2,789",0.012,0.045
0500000US30079,30079,Prairie,1183,1140,1141,1163,1125,1142,1166,1112,1087,889,617,882,720,859,622,879,709,874,666,-0.034,0.017
0500000US30081,30081,Ravalli,40325,40375,40573,40668,40743,41143,41904,42548,43172,"29,330","17,928","29,961","22,505","29,287","17,030","30,119","23,355","31,287","23,571",0.060,0.068
0500000US30083,30083,Richland,9759,10143,10780,11154,11531,11904,11410,11041,10913,"6,644","3,812","6,378","4,735","6,648","3,397","7,048","4,988","7,270","4,379",-0.054,0.094
0500000US30085,30085,Roosevelt,10444,10494,10851,11088,11285,11415,11219,11160,11059,"5,773","2,958","6,207","3,746","5,738","2,753","5,813","3,825","5,974","3,474",-0.020,0.041
0500000US30087,30087,Rosebud,9252,9333,9357,9306,9328,9353,9246,9259,9063,"5,100","2,693","5,113","3,580","4,821","2,642","4,982","3,593","5,018","3,402",-0.028,0.041
0500000US30089,30089,Sanders,11396,11396,11374,11308,11312,11294,11461,11692,11844,"7,689","5,268","8,338","6,040","8,154","4,657","8,290","6,140","8,624","6,203",0.047,0.058
0500000US30091,30091,Sheridan,3368,3417,3549,3625,3660,3671,3607,3501,3424,"2,442","1,713","2,501","1,982","2,348","1,456","2,422","1,942","2,459","1,850",-0.064,0.047
0500000US30093,30093,Silver Bow,34233,34405,34477,34580,34758,34691,34714,34915,34993,"21,526","11,893","23,652","17,041","19,930","12,859","21,950","17,251","22,931","16,447",0.007,0.151
0500000US30095,30095,Stillwater,9123,9164,9175,9264,9244,9436,9382,9452,9534,"5,475","3,793","5,926","4,758","5,867","3,779","6,104","5,006","6,342","4,911",0.031,0.081
0500000US30097,30097,Sweet Grass,3620,3586,3582,3658,3640,3620,3614,3683,3710,"2,531","1,768","2,732","2,160","2,555","1,652","2,664","2,176","2,798","2,167",0.019,0.095
0500000US30099,30099,Teton,6074,6060,6057,6050,6031,6068,6023,6114,6162,"4,262","2,778","3,992","3,332","4,013","2,757","4,060","3,331","4,033","3,179",0.022,0.005
0500000US30101,30101,Toole,5343,5151,5216,5122,5117,5079,4952,4881,4853,"2,758","1,787","2,764","2,152","2,609","1,685","2,654","2,094","2,614","1,921",-0.052,0.002
0500000US30103,30103,Treasure,718,713,722,693,689,684,680,676,679,601,387,582,468,570,388,560,461,557,419,-0.015,-0.023
0500000US30105,30105,Valley,7378,7460,7498,7627,7628,7623,7539,7433,7437,"4,919","3,464","4,790","3,950","4,720","3,417","4,845","4,029","4,921","3,925",-0.025,0.043
0500000US30107,30107,Wheatland,2156,2132,2090,2123,2090,2110,2127,2184,2236,"1,349","1,054","1,316","1,003","1,271",778,"1,333",983,"1,356",946,0.070,0.067
